@relation hetero_trainingSetWithClass

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute piPC3 numeric
@attribute AMW numeric
@attribute Class {0,1}

@data
1290.488102,-0.040767,-0.023956,1.020812,1.012039,0.966336,1.037235,0.998117,0.939733,1.0264,14.014361,6.418556,177.02,5.201841,0.955845,0.964676,4.718499,7.384452,1
1993.768445,0.821974,0.051198,1.016913,1.009981,0.871939,1.080184,0.814358,1.266112,1.006837,16.000006,4.537215,191.05,5.351823,0.92156,0.92156,4.488636,6.468024,1
1184.385669,-0.306723,-0.024197,0.792556,1.084258,0.901494,1.027125,0.927103,0.9891,0.837429,19.001257,3.601624,61.06,4.681728,0.954113,0.954113,4.356709,9.368879,1
1683.78716,-0.77326,-0.086988,1.014233,0.848473,1.25206,1.092274,1.028453,1.340162,0.98946,31.972072,3.967071,55.08,4.548394,0.92694,0.92694,4.043051,9.068223,1
2612.600797,0.313541,0.025959,1.056513,0.768447,1.189579,0.355256,0.18629,0.999625,0.88015,31.972073,3.672878,154.07,5.005249,0.901482,0.858108,4.65396,7.52914,1
1201.924835,0.075841,0.01149,0.986839,0.90776,0.96256,1.198288,0.444706,1.038375,0.951154,16.001383,3.951614,16.04,4.657882,0.923378,0.923378,3.73767,6.761238,1
2248.353079,-0.003799,-0.00061,0.900413,0.961561,1.06214,1.176479,1.062796,1.392262,0.987989,31.972072,4.992335,129.05,4.930837,0.8782,0.8782,4.65396,7.268487,1
2559.727966,-1.196751,-0.093319,1.360027,0.974799,0.805969,1.232429,0.809411,0.924417,0.930705,31.973073,4.700761,129.1,4.930484,0.920287,0.920287,4.394449,9.366951,1
1836.396984,-0.056483,-0.00398,1.268058,0.998,1.079568,1.384674,0.872811,1.000525,1.055181,15.999939,4.27222,64.07,4.688722,0.839526,0.839526,3.688879,6.357997,1
1744.495679,0.45532,0.028341,0.768698,1.091592,1.448684,1.480808,1.4524,1.074658,1.190611,18.999411,4.48688,129.08,5.061482,0.927108,0.927108,4.644391,7.980442,1
2495.484653,-1.452055,-0.121926,0.988102,0.64591,1.358769,0.457473,1.254544,1.047279,0.875759,34.968854,4.004616,134.05,4.920832,0.876418,0.876418,4.49981,7.655921,1
1989.503559,-0.349551,-0.115357,1.031293,0.60223,1.145095,0.880751,1.226513,0.9125,0.858889,34.968853,5.821805,58.03,4.576618,0.872081,0.872081,4.189655,7.213781,1
1942.652238,0.278238,0.059539,1.153806,1.037533,1.091429,1.399094,1.047561,0.831402,0.972947,15.994922,5.67253,139.03,5.053528,0.846563,0.852091,4.343805,6.004379,1
2035.471377,0.739027,0.05303,1.06978,1.270445,1.321883,1.201776,1.550782,0.962777,1.45179,31.972072,3.077052,129.09,4.938998,0.93446,0.93446,4.59512,9.463484,1
996.809477,0.32074,0.040623,1.039515,1.11395,0.933378,0.604392,0.898006,1.136514,0.72201,16.000002,3.468932,61.08,4.72005,0.985804,0.971607,4.330733,9.484628,1
3295.06823,-0.70773,-0.103415,1.033182,0.715021,0.846981,0.725295,0.637469,1.069833,0.74605,34.971059,6.044248,124.06,4.97771,0.922379,0.941785,4.51086,9.744231,1
1707.283169,-2.612332,-0.282953,0.919369,0.997019,1.018931,0.898501,0.744354,0.948734,1.002614,31.972072,3.824511,64.08,4.718488,0.935393,0.935393,4.356709,9.334748,1
2041.067402,-1.077719,-0.171953,1.17779,0.757965,1.071406,0.898643,0.699141,0.941443,0.793193,31.972072,5.74503,61.06,4.61939,0.86222,0.86222,4.248495,7.198426,1
1870.664404,-0.043301,-0.022631,1.09202,1.120207,0.943445,1.036802,0.793479,0.947944,1.166082,31.972072,5.714402,104.03,4.234184,0.795611,0.795611,4.369448,7.103368,1
2438.785452,-0.184954,-0.026056,1.098878,1.051964,1.022103,0.601026,1.169469,1.009849,1.003163,15.99827,5.678017,254.03,5.046819,0.806169,0.807759,4.836282,6.201496,1
2598.510176,-0.204947,-0.04504,1.113535,0.656914,1.083892,1.061385,0.784763,1.132899,0.710392,34.969381,5.636927,114.04,4.734184,0.880167,0.889562,4.521789,8.276994,1
4799.989107,-0.694057,-0.041646,0.927494,0.928972,0.895379,0.930665,0.398097,1.021018,0.985152,31.973531,6.188636,949.12,5.407575,0.800543,0.800543,5.624018,7.78057,1
3940.665737,-1.310746,-0.048687,0.926414,0.883457,0.978635,1.113448,1.01502,0.950727,1.095472,16.005051,4.277035,652.14,6.266054,0.923856,0.927633,5.472271,7.271781,1
1729.380419,-1.734954,-0.146514,1.570269,0.989603,0.732811,1.15253,1.000828,0.920151,0.976075,31.972072,4.912005,104.1,4.66391,0.932782,0.932782,4.356709,9.376651,1
1158.152329,-0.40453,-0.075715,0.966363,1.559143,0.741109,1.056006,1.662292,1.187128,1.647813,31.972072,4.134432,43.08,4.121928,0.953724,0.953724,3.850148,10.700803,1
1368.822861,0.056571,0.00973,0.873268,1.144274,1.378056,1.153477,1.341611,0.94717,0.881991,15.994921,4.480872,156.07,4.875146,0.922379,0.922379,4.418841,7.337287,1
1783.416224,-0.517538,-0.083374,1.187429,0.811941,0.994852,0.901234,1.014199,1.217221,0.890782,15.994921,6.336136,232.03,5.21772,0.900789,0.898468,4.442651,5.861633,1
2929.060014,-0.428112,-0.097557,1.010186,0.717139,1.000198,0.975605,1.118371,1.023937,0.850587,34.969381,5.825965,184.05,4.86461,0.866405,0.866405,4.543295,7.61506,1
1328.637892,-0.22257,-0.048561,0.927808,1.041936,0.867826,0.353564,0.889557,1.171542,1.201801,15.998264,4.856709,61.02,3.784184,0.729845,0.711055,4.442651,6.703658,1
1094.269114,-0.885407,-0.081592,0.766495,1.093658,0.72558,0.822959,0.893851,0.847973,1.13071,16.000802,5.201375,184.06,4.157854,0.810611,0.810611,4.828314,9.544221,1
1723.909853,-0.643877,-0.193844,0.954321,0.883374,0.693745,0.987211,0.381582,1.247443,1.049355,34.96938,5.650609,52.05,4.415061,0.899768,0.899768,4.330733,8.269429,1
3157.379091,0.560051,0.036519,0.979201,0.79752,1.170548,0.932844,1.272707,0.862216,0.968596,31.973075,4.238109,268.15,5.437479,0.932263,0.924326,4.927254,9.255918,1
2144.776592,-0.198633,-0.015711,0.912756,1.204911,0.931838,1.555641,1.002598,0.978061,1.278146,31.972072,4.525597,184.08,4.757546,0.876763,0.876763,4.691348,8.444309,1
1699.282159,-1.605941,-0.189404,1.286757,0.741557,0.963121,1.301915,1.280827,0.919899,0.803681,31.972072,3.889787,16.08,4.254196,0.875713,0.875713,3.850148,8.519403,1
2145.965647,-0.183457,-0.045286,1.124428,1.041846,1.444279,0.947946,1.036836,0.840531,1.222859,31.972072,4.999989,119.04,4.809492,0.87352,0.865859,4.488636,6.982148,1
1574.136835,-0.334566,-0.0272,0.785776,0.909005,1.368452,1.305919,1.518216,1.106802,1.140693,18.998407,4.514278,177.07,4.678032,0.867536,0.867536,4.59512,7.884124,1
13932.072567,0.027387,0.008692,0.996718,0.838585,3.223362,1.183796,0.06222,1.126011,0.818251,126.904473,6.639398,40.04,4.169925,1,1,4.174387,16.939469,1
3154.250345,1.171284,0.085156,0.905429,0.786985,1.335575,1.085913,1.541592,0.906275,0.990703,31.973074,4.677809,233.13,5.173252,0.89081,0.89081,4.727388,8.57366,1
2340.504067,0.349769,0.036209,0.94281,0.992493,0.995255,1.108963,1.306376,1.056099,1.090783,31.973074,4.626961,134.12,5.131556,0.970892,0.970892,4.624973,10.129123,1
2193.731856,-0.437541,-0.05833,0.997279,1.296353,0.982026,1.248493,0.974763,0.87483,1.410434,31.972072,4.320537,129.07,5.142915,0.931087,0.931087,4.59512,7.807182,1
2460.68308,1.240375,0.14638,0.686468,1.17857,1.820594,0.888092,1.074022,0.986689,1.095675,34.970156,3.719669,19.06,4.607264,0.929972,0.929972,4.219508,9.742299,1
2169.853463,-0.341666,-0.029365,1.492241,1.020716,0.839576,1.368842,0.896522,1.040863,0.802396,31.972072,4.687711,205.09,4.952591,0.89663,0.89663,4.727388,8.697755,1
2439.637881,-0.046846,-0.006979,0.910823,0.679661,0.816194,1.475751,0.740748,0.95074,0.735457,34.969381,5.724289,198.05,5.265467,0.921343,0.928257,4.672829,7.473741,1
1832.767319,0.720752,0.083398,0.99139,0.918112,1.038798,0.964174,0.959192,1.112607,0.845663,15.999303,4.314669,149.07,4.979098,0.866711,0.873459,4.75359,7.56094,1
5309.831492,1.242847,0.028652,1.097022,1.084408,0.93278,1.110465,0.8488,1.054583,1.029673,16.011394,4.022388,457.18,6.593036,0.903322,0.923452,4.976734,6.493044,1
2069.989756,-0.429208,-0.1178,1.029704,0.844906,1.073584,1.045392,1.174376,1.005274,0.923572,14.009835,5.999182,226.04,5.268221,0.866486,0.874776,4.976734,6.373513,1
676.00462,-0.655647,-0.159114,0.819214,1.391202,1.827683,0.474833,1.827593,0.698917,1.555385,15.995924,4.454563,43.08,3.984184,0.921853,0.921853,4.094345,9.702761,1
2494.182847,-1.535645,-0.049868,0.883751,0.816216,1.039062,0.688589,0.817239,1.086572,1.061247,19.00478,3.690491,268.14,5.267211,0.887378,0.899151,4.844187,9.209486,1
1815.183065,-0.22324,-0.072616,0.871621,1.357093,1.420147,1.52668,1.471743,1.17027,1.122787,31.972072,6.236129,114.03,4.99028,0.924758,0.944163,4.564348,7.874438,1
2632.284394,-0.87122,-0.072343,1.106216,0.919547,0.752475,0.830447,0.837382,0.944717,0.907607,31.972073,5.137419,226.07,5.392127,0.878491,0.920475,4.787492,7.606224,1
3024.275379,0.318904,0.022931,0.550896,1.215563,0.969705,1.326875,1.383588,0.786009,1.244833,34.969855,2.729995,134.09,4.739574,0.871287,0.868144,4.672829,9.115248,1
2426.146323,-0.49102,-0.061337,0.860324,1.034228,0.690027,0.503192,0.404631,0.996941,0.944278,34.968854,4.623456,198.05,5.028758,0.891015,0.891015,4.75359,7.642896,1
4071.225866,-4.154489,-0.209159,1.017809,0.716073,0.68813,0.255272,0.513513,0.837152,0.719908,31.973075,4.321057,38.16,4.171643,0.767837,0.669733,4.553877,7.89583,1
39381.21393,-0.160355,-0.033107,0.896542,0.75897,1.525959,1.0079,0.973975,0.987829,0.735276,126.906473,4.670385,17.06,4.418157,0.92366,0.909464,4.060443,19.682766,1
2605.989712,2.89864,0.136357,1.051295,1.149167,1.118116,1.072857,0.980464,0.948245,1.085054,16.001679,5.203206,159.12,5.594672,0.909385,0.919048,4.26268,6.57749,1
2089.867335,0.551772,0.042872,0.932713,1.116541,1.024911,0.904353,0.808136,1.16703,0.955952,16.00002,4.995178,313.1,5.142295,0.860168,0.877827,4.934474,7.779062,1
2112.455432,-0.256823,-0.075026,1.006692,0.620362,0.756052,0.522978,0.700191,0.944074,0.800671,34.96938,5.931601,109.03,4.231487,0.793556,0.784725,4.317488,7.146174,1
4675.38089,-3.769019,-0.101774,1.133581,1.02527,0.983029,1.191604,0.904234,1.036302,1.19051,16.009078,4.042826,408.16,6.141026,0.867401,0.883068,4.828314,6.560089,1
1746.531561,-0.07203,-0.033616,1.099168,0.989321,1.010861,1.020603,1.089189,0.995927,0.975227,14.0041,6.591327,205.02,4.807355,0.819334,0.827805,4.65396,6.575451,1
2865.710537,0.22587,0.033553,1.048866,0.913328,0.976512,0.768529,1.053687,0.948594,0.895462,15.994925,4.761115,112.05,4.921106,0.728296,0.754359,4.454347,5.559104,1
