@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithoutNans50

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC5 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
1683.78716,-0.77326,1.014233,1.25206,1.028453,0.98946,31.972072,3.967071,55.08,4.548394,0.92694,9.068223,591,1
2612.600797,0.313541,1.056513,1.189579,0.18629,0.88015,31.972073,3.672878,154.07,5.005249,0.858108,7.52914,189000000726,1
1201.924835,0.075841,0.986839,0.96256,0.444706,0.951154,16.001383,3.951614,16.04,4.657882,0.923378,6.761238,538,1
2248.353079,-0.003799,0.900413,1.06214,1.062796,0.987989,31.972072,4.992335,129.05,4.930837,0.8782,7.268487,1502,1
2559.727966,-1.196751,1.360027,0.805969,0.809411,0.930705,31.973073,4.700761,129.1,4.930484,0.920287,9.366951,1474,1
1836.396984,-0.056483,1.268058,1.079568,0.872811,1.055181,15.999939,4.27222,64.07,4.688722,0.839526,6.357997,967,1
1744.495679,0.45532,0.768698,1.448684,1.4524,1.190611,18.999411,4.48688,129.08,5.061482,0.927108,7.980442,1362,1
2495.484653,-1.452055,0.988102,1.358769,1.254544,0.875759,34.968854,4.004616,134.05,4.920832,0.876418,7.655921,2035,1
1989.503559,-0.349551,1.031293,1.145095,1.226513,0.858889,34.968853,5.821805,58.03,4.576618,0.872081,7.213781,718,1
1942.652238,0.278238,1.153806,1.091429,1.047561,0.972947,15.994922,5.67253,139.03,5.053528,0.852091,6.004379,1895,1
2035.471377,0.739027,1.06978,1.321883,1.550782,1.45179,31.972072,3.077052,129.09,4.938998,0.93446,9.463484,1631,1
996.809477,0.32074,1.039515,0.933378,0.898006,0.72201,16.000002,3.468932,61.08,4.72005,0.971607,9.484628,981,1
3295.06823,-0.70773,1.033182,0.846981,0.637469,0.74605,34.971059,6.044248,124.06,4.97771,0.941785,9.744231,1406,1
1707.283169,-2.612332,0.919369,1.018931,0.744354,1.002614,31.972072,3.824511,64.08,4.718488,0.935393,9.334748,936,1
2041.067402,-1.077719,1.17779,1.071406,0.699141,0.793193,31.972072,5.74503,61.06,4.61939,0.86222,7.198426,859,1
1870.664404,-0.043301,1.09202,0.943445,0.793479,1.166082,31.972072,5.714402,104.03,4.234184,0.795611,7.103368,789,1
2438.785452,-0.184954,1.098878,1.022103,1.169469,1.003163,15.99827,5.678017,254.03,5.046819,0.807759,6.201496,4424,1
2598.510176,-0.204947,1.113535,1.083892,0.784763,0.710392,34.969381,5.636927,114.04,4.734184,0.889562,8.276994,1021,1
4799.989107,-0.694057,0.927494,0.895379,0.398097,0.985152,31.973531,6.188636,949.12,5.407575,0.800543,7.78057,1197000001076,1
3940.665737,-1.310746,0.926414,0.978635,1.01502,1.095472,16.005051,4.277035,652.14,6.266054,0.927633,7.271781,12175,1
1729.380419,-1.734954,1.570269,0.732811,1.000828,0.976075,31.972072,4.912005,104.1,4.66391,0.932782,9.376651,698,1
1158.152329,-0.40453,0.966363,0.741109,1.662292,1.647813,31.972072,4.134432,43.08,4.121928,0.953724,10.700803,302,1
1368.822861,0.056571,0.873268,1.378056,1.341611,0.881991,15.994921,4.480872,156.07,4.875146,0.922379,7.337287,910,1
1783.416224,-0.517538,1.187429,0.994852,1.014199,0.890782,15.994921,6.336136,232.03,5.21772,0.898468,5.861633,1151,1
2929.060014,-0.428112,1.010186,1.000198,1.118371,0.850587,34.969381,5.825965,184.05,4.86461,0.866405,7.61506,1544,1
1328.637892,-0.22257,0.927808,0.867826,0.889557,1.201801,15.998264,4.856709,61.02,3.784184,0.711055,6.703658,814,1
1094.269114,-0.885407,0.766495,0.72558,0.893851,1.13071,16.000802,5.201375,184.06,4.157854,0.810611,9.544221,1424,1
1723.909853,-0.643877,0.954321,0.693745,0.381582,1.049355,34.96938,5.650609,52.05,4.415061,0.899768,8.269429,498,1
3157.379091,0.560051,0.979201,1.170548,1.272707,0.968596,31.973075,4.238109,268.15,5.437479,0.924326,9.255918,4573,1
2144.776592,-0.198633,0.912756,0.931838,1.002598,1.278146,31.972072,4.525597,184.08,4.757546,0.876763,8.444309,1352,1
1699.282159,-1.605941,1.286757,0.963121,1.280827,0.803681,31.972072,3.889787,16.08,4.254196,0.875713,8.519403,450,1
2145.965647,-0.183457,1.124428,1.444279,1.036836,1.222859,31.972072,4.999989,119.04,4.809492,0.865859,6.982148,1130,1
1574.136835,-0.334566,0.785776,1.368452,1.518216,1.140693,18.998407,4.514278,177.07,4.678032,0.867536,7.884124,1234,1
13932.072567,0.027387,0.996718,3.223362,0.06222,0.818251,126.904473,6.639398,40.04,4.169925,1,16.939469,218,1
