@relation amps_padel2d_WithoutNans50_WithoutNames

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC5 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
8086.077606,3.384186,0.992768,1.111643,1.269608,0.997171,16.012634,4.108082,102.34,6.058331,0.77989,6.627823,87255,1
10459.831897,-0.562611,0.968412,1.03057,1.04829,0.969314,31.972078,3.9045,125.48,6.035846,0.755014,7.070185,145925,1
936.342729,2.07234,0.846461,1.180736,1.180389,0.964962,16.070146,3.926109,10700.31,7.28256,0.846088,7.110413,3798711,1
9170.691441,-2.446618,0.982226,1.030277,1.010211,0.966991,31.972077,3.920251,109.46,6.029644,0.775538,7.26827,101404,1
11591.678974,4.83364,0.990122,1.136866,1.394923,1.012393,16.018003,4.122603,442.47,5.98544,0.720414,6.546647,240350,1
7228.502764,2.927981,0.962649,1.117056,1.303795,0.899291,16.005614,4.504524,90.3,5.998463,0.784005,6.337667,53361,1
7848.033983,3.694453,1.027474,1.146769,1.386625,1.026026,16.010592,4.394893,95.31,5.635252,0.727299,6.353004,71340,1
12014.233378,4.960277,0.946268,1.102489,1.323918,0.968694,31.973085,4.466487,137.5,6.124628,0.749197,6.854966,212201,1
1559.954949,-0.01716,0.672946,0.922234,1.188406,0.897614,31.974103,4.118532,200.77,6.200448,0.810405,6.948903,601290,1
1626.911558,1.217327,0.675789,0.993674,1.17886,0.932542,31.974108,3.923594,229.85,6.638249,0.846801,6.922104,927364,1
15184.599186,0.011524,1.003645,1.051751,1.291509,1.017543,31.972081,4.093792,185.72,6.156585,0.715889,6.820964,416323,1
11408.296408,-1.013028,0.976462,1.061415,1.283476,0.972477,31.973085,4.236256,684.52,6.823329,0.842591,7.120491,164121,1
1549.935554,0.959281,0.767052,1.153294,1.192972,0.930353,31.973108,3.786531,5964.26,7.09577,0.840851,7.195386,2704566,1
10181.109341,3.21997,0.995179,1.108876,1.260043,0.984507,16.01685,4.10443,128.43,6.105005,0.753399,6.596738,155216,1
7899.623325,0.281641,0.95951,1.06382,1.186425,0.99364,31.972076,4.126865,489.38,6.808736,0.897662,7.237929,71658,1
8327.873365,3.259871,0.974535,1.108358,1.23953,0.983235,16.01164,3.914661,104.34,5.974306,0.763338,6.493076,87255,1
10025.01749,2.487133,0.99156,1.092534,1.210133,0.995366,16.016838,4.106257,125.44,5.974755,0.740232,6.606255,146910,1
1118.726536,0.466944,0.702796,1.109442,1.17429,0.926095,31.972088,3.893738,4015.12,7.116252,0.861804,7.199914,1954141,1
1492.090123,0.792355,0.667562,0.93504,1.214168,0.942868,31.9741,4.223584,185.68,6.595092,0.875682,6.882929,475330,1
7107.131832,-0.273518,0.98029,1.1147,1.178098,0.96709,31.972075,3.907404,81.32,6.024606,0.813104,6.991866,45818,1
12740.809106,7.54785,0.97933,1.191537,1.585007,1.029625,16.013961,4.392778,153.46,4.753527,0.558987,6.029261,249840,1
9250.739714,-6.618443,1.075629,1.034144,1.139369,1.013548,16.023994,3.910239,639.53,6.723879,0.852338,7.589819,142868,1
890.33516,0.553727,0.660235,0.987411,1.189134,0.945332,31.972083,3.922052,2032.8,6.62999,0.849198,6.968667,746516,1
9890.259802,-0.73536,0.928116,1.103134,1.238726,0.966237,31.974088,3.791198,107.45,6.492866,0.840925,7.472415,95805,1
7237.958913,3.321576,0.969925,1.160659,1.493415,1.004847,16.006589,4.151056,90.28,5.626435,0.734693,6.30131,53149,1
20538.037489,3.922375,0.97137,1.099919,1.292544,1.004271,31.973097,4.122967,245.91,6.349876,0.705542,6.872913,1087706,1
11466.07709,5.81612,1.005536,1.137244,1.40648,0.987797,16.016997,4.402938,1066.45,6.220099,0.749068,6.684335,261664,1
813.640206,-0.218897,0.841913,1.09258,1.091357,0.953506,16.062112,3.918858,5471.13,6.285295,0.756091,7.193267,2020128,1
14281.699436,0.206471,0.989703,1.066605,1.159779,0.960147,31.97208,3.92528,526.68,6.487322,0.761455,6.805113,384144,1
7761.063195,4.279963,1.012472,1.170644,1.462347,1.039558,16.009595,4.414563,97.3,5.643158,0.728952,6.410679,75482,1
14062.645044,4.479107,0.966279,1.076991,1.325377,0.961977,31.97208,3.906138,1248.6,6.725153,0.790839,6.907362,390865,1
600.714165,0.755486,0.893485,1.219965,1.220157,0.961557,16.040118,3.748479,2365.95,6.691151,0.833486,6.864247,1199865,1
11564.36528,6.252521,0.996464,1.121633,1.339795,0.977281,16.016991,4.402942,1059.45,6.362744,0.764991,6.596493,257440,1
18244.870297,0.242618,0.953331,1.026255,1.225941,0.941109,31.974106,4.112101,2423.83,7.222083,0.822741,7.126665,703552,1
1653.178136,-0.497465,0.685825,1.025655,1.2107,0.87816,31.974108,4.106943,230.91,6.303985,0.802876,7.026667,950740,1
9346.53705,0.854094,0.960698,1.118224,1.226619,0.969807,31.972077,3.90618,346.44,6.640554,0.846417,7.155759,117425,1
14406.77466,-0.299171,0.99723,1.06682,1.196907,0.994291,31.97208,3.748227,175.69,6.312094,0.739868,6.763522,355019,1
12703.34491,3.134104,0.946618,1.070824,1.240795,0.941428,31.974093,4.229675,137.52,6.161542,0.753253,6.955353,215369,1
885.50296,0.084704,0.919365,1.224549,1.224546,0.972412,16.064047,3.913871,5094.47,6.89125,0.80097,6.974653,3848238,1
515.907642,2.231759,0.829734,1.238231,1.237578,0.982025,16.034152,4.127034,2831.72,6.993996,0.902662,7.086011,741452,1
961.786139,-0.676744,0.857086,1.148013,1.147107,0.932903,16.075336,3.912603,4977.37,6.823371,0.796206,7.019386,3555450,1
1757.782524,3.401537,0.667792,1.001619,1.239211,0.94985,31.974117,4.409969,5592,7.352231,0.898816,7.231968,1904635,1
15041.087503,-0.300873,0.995886,1.055951,1.237952,0.987115,31.972081,3.90866,1346.71,7.014879,0.818191,7.126982,469861,1
14270.68195,2.765963,1.007106,1.060261,1.465396,0.986236,16.017382,4.404528,4721.6,6.776105,0.784578,6.943604,458087,1
13598.280683,4.694064,0.958155,1.097896,1.363355,0.970495,31.97208,4.38033,162.57,6.484942,0.765485,6.525259,285029,1
1111.959806,0.429878,0.73773,1.098347,1.178063,0.97889,31.972089,3.904695,2978.25,6.926313,0.828314,6.887557,2315101,1
10686.186081,0.631968,0.969698,1.065851,1.340266,0.980795,31.973085,3.709346,1186.46,6.887659,0.859751,7.181915,144086,1
336.072041,1.3398,0.897862,1.206994,1.207553,1.103652,16.017116,4.412339,1150.53,6.348368,0.863873,6.718731,288222,1
8019.922138,0.608863,0.992238,1.035706,1.332594,0.961681,31.972076,4.307799,1388.37,6.855254,0.895989,7.302086,79217,1
6942.476158,3.002372,0.970601,1.018467,1.207872,0.958404,16.009602,4.338221,1713.32,6.607487,0.874632,7.179192,65892,1
11878.201282,-0.178833,0.958247,1.08187,1.263187,0.997637,31.973086,3.913568,1330.55,6.893402,0.844793,7.290262,212347,1
963.430125,2.537204,0.812226,0.98572,1.25562,1.016371,31.972087,3.784474,3249.02,6.863613,0.837562,6.605077,1620802,1
16219.29841,4.594142,0.94601,1.100027,1.300103,0.958277,31.9741,4.223584,183.66,6.423717,0.747275,6.846132,465490,1
18592.201002,4.373301,0.995661,1.093377,1.35764,1.031521,16.025089,4.454981,233.85,6.16047,0.685142,6.487592,852282,1
391.803182,0.344972,0.932069,1.206403,1.206818,1.070573,16.021471,4.124025,559.67,6.131237,0.813252,6.62631,437775,1
12608.311087,-0.61102,0.998721,1.038693,1.182119,0.98668,31.972079,3.913096,784.6,6.904398,0.83102,7.028974,280925,1
719.225423,0.560919,0.616623,1.114432,1.221248,0.933431,31.972079,3.786197,749.53,6.789812,0.940525,6.903103,256135,1
8954.981306,2.34172,1.008346,1.077775,1.303116,0.950449,16.013742,3.903123,1096.37,6.663878,0.84026,6.87266,123167,1
11362.337484,1.412509,0.986372,1.046174,1.413322,1.003299,31.972079,4.022397,1960.49,6.650508,0.809624,6.990393,195485,1
809.949523,-0.297359,0.843118,1.099087,1.097889,0.945452,16.062058,3.911358,5420.13,6.376929,0.768378,7.230286,1985492,1
11539.796942,0.08432,0.993054,1.069219,1.245357,0.972009,31.972079,3.920974,1348.55,7.13906,0.871699,7.181743,234787,1
9263.465131,2.877037,0.970898,1.05126,1.507732,0.979588,16.007744,4.392409,2257.38,6.597972,0.822447,6.853984,128271,1
8494.635652,0.355546,1.010412,1.067135,1.403648,1.003765,16.008725,4.457764,1323.43,6.488234,0.826342,7.11646,106362,1
10385.665385,5.211385,0.956732,1.127231,1.524708,0.973047,16.010804,4.491808,1532.4,6.53009,0.797824,6.567689,177254,1
1552.288896,0.551887,0.813318,1.201582,1.203265,0.997912,31.973112,3.817449,1895.42,6.65176,0.776871,6.833895,3508174,1
7590.744989,2.424637,0.989041,1.080782,1.224352,1.005394,16.008603,4.314023,94.34,6.29574,0.819065,6.489644,66024,1
