@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithoutNans50-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute ATSC2i numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute MPC9 numeric
@attribute TSRW numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
0.020692,0.24205,0.602534,0.628533,0.61798,0.490459,0.239596,0.303819,0.282513,0.490777,0.159149,0.593367,0.39974,0.57292,0.818269,0.818269,0.239472,0.111423,0.571261,0.201005,0,1
0.015367,0.181015,0.487579,0.364601,0.402542,0.715993,0.247639,0.261611,0.360912,0.308594,0.159149,0.510022,0.098596,0.486913,0.81672,0.81672,0.270858,0.004682,0.39024,0.204927,0,1
0.013871,0.236154,0.450044,0.758506,0.60373,0.413886,0.351859,0.280308,0.427804,0.437998,0.044243,0.591884,0.307561,0.559334,0.804662,0.804662,0.168607,0.072566,0.558952,0.171742,0,1
0.161597,0.251852,0.506946,0.542339,0.648248,0.541091,0.828796,0.367807,0.017532,0.314189,0.999956,0.870454,0.116842,0.472513,1,1,0.77896,0.0103,0.396892,0.644768,0,1
0.03276,0.301463,0.519264,0.555768,0.74309,0.486041,0.343405,0.325422,0.434391,0.380406,0.159158,0.61332,0.427646,0.643952,0.838983,0.838983,0.254512,0.087079,0.626974,0.207762,0,1
0.023032,0.265834,0.44054,0.526566,0.682379,0.508583,0.255902,0.405493,0.368111,0.418834,0.159158,0.606655,0.300779,0.636828,0.957076,0.957076,0.311794,0.051966,0.585537,0.289015,0,1
0.021278,0.231688,0.470377,0.621916,0.565118,0.541429,0.2525,0.218694,0.274669,0.541572,0.159149,0.566487,0.327207,0.638768,0.898377,0.898377,0.186062,0.038858,0.485895,0.167723,0,1
0.024469,0.304459,0.526292,0.874312,0.819028,0.354001,0.468114,0.279094,0.302638,0.420713,0.185703,0.487722,0.135766,0.547242,0.896733,0.896733,0.248732,0.012172,0.41638,0.268808,0,1
0.020992,0.235846,0.51575,0.301823,0.601045,0.839906,0.215873,0.473653,0.252622,0.308101,0.159149,0.614618,0.370714,0.606248,0.847565,0.847565,0.212251,0.072097,0.628687,0.214244,0,1
0.024217,0.248633,0.518963,0.584429,0.628811,0.489294,0.209861,0.37588,0.208728,0.282398,0.185696,0.750497,0.417543,0.659709,0.884008,0.894204,0.138857,0.07912,0.530239,0.150305,0,1
0.058527,0.304567,0.56741,0.565104,0.673006,0.601577,0.239838,0.352961,0.239175,0.395369,0.017787,0.527404,1,0.886551,0.857434,0.887118,0.094618,0.137172,0.710504,0.099076,0,1
0.019798,0.23205,0.602693,0.594359,0.491355,0.560982,0.276042,0.205163,0.330916,0.354629,0.00006,0.786532,0.56364,0.66018,0.803114,0.815338,0.037693,0.125936,0.587848,0.092832,0,1
0.024869,0.184064,1,0.544915,0.575614,0.472968,0.267165,0.243212,0.230282,0.407493,0.0443,0.483898,0.549103,0.660007,0.833922,0.851283,0.235601,0.083333,0.609553,0.240975,0,1
0.016752,0.240983,0.541177,0.574615,0.547399,0.465654,0.365151,0.521868,0.414708,0.431123,0.159149,0.817592,0.271573,0.612688,0.889044,0.91766,0.123551,0.031835,0.467453,0.171236,0,1
0.02652,0.21288,0.558529,0.441312,0.547738,0.607121,0.193478,0.266223,0.235958,0.348499,0.159149,0.673568,0.471302,0.681351,0.820817,0.882728,0.148474,0.067884,0.590212,0.157226,0,1
0.031206,0.264495,0.442268,0.750323,0.66591,0.272247,0.249332,0.334052,0.389868,0.477986,0.1857,0.357991,0.316012,0.569849,0.810193,0.805559,0.292478,0.082397,0.583224,0.236053,0.004006,1
0.024056,0.229369,0.604623,0.625967,0.561389,0.458841,0.177421,0.368979,0.114017,0.36258,0.185692,0.606195,0.479009,0.619262,0.839285,0.839285,0.147283,0.093633,0.536109,0.159141,0,1
0.043721,0.070485,0.456371,0.492776,0.378039,0.553809,0.176933,0.208923,0.144698,0.276427,0.159158,0.566555,0.296765,0.472807,0.657641,0.512972,0.225812,0.014981,0.498554,0.172354,0.063932,1
0.050943,0.087203,0.57239,0.530555,0.511233,0.623623,0.252758,0.304682,0.254795,0.457127,0.017767,0.530083,1,0.809316,0.804463,0.827566,0.096412,0.132959,0.705237,0.102578,0,1
0.02931,0.26046,0.616621,0.577482,0.679085,0.572538,0.251082,0.233693,0.296908,0.343836,0.017642,0.62424,0.54926,0.600868,0.599332,0.637765,0.045302,0.035581,0.481316,0.05029,0,1
0.025266,0.222901,0.460048,0.388453,0.50742,0.630044,0.300672,0.201229,0.277346,0.39511,0.185711,0.711558,0.144165,0.457996,0.882674,0.839186,0.29524,0.014981,0.403664,0.386638,0,1
0.020606,0.246571,0.511385,0.524106,0.607775,0.535693,0.20164,0.348966,0.177898,0.263405,0.185696,0.798125,0.314625,0.57592,0.823039,0.823039,0.122482,0.058052,0.49488,0.154877,0,1
