@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithouNans50_WithoutNames-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATS1m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data
0.259603,0.039892,0.219894,0.515462,0.650384,0.574384,0.425961,0.460273,0.441457,0.251513,0.389313,0.171477,0.216192,0.64521,0.474258,0.159176,0.640212,0.507951,0.000005,0.67583,0.914945,0.90523,0.357421,0.384615,0.346646,0.695032,0.326624,0,1
0.364328,0.050581,0.191029,0.55572,0.645783,0.584572,0.314453,0.516649,0.301752,0.26094,0.247687,0.202988,0.313018,0.460059,0.438599,0.01774,0.560771,1,0.000009,0.835705,0.849149,0.853727,0.109439,0.279412,0.787551,0.765414,0.120397,0,1
0.156151,0.018803,0.290049,0.54104,0.757085,0.708979,0.283096,0.411456,0.338999,0.310611,0.34708,0.244223,0.361892,0.473843,0.387471,0.044243,0.594407,0.450589,0.000004,0.65892,0.879753,0.879753,0.154874,0.212121,0.191997,0.66809,0.155299,0,1
0.626439,0.091715,0.300406,0.615104,0.585445,0.660023,0.384421,0.49086,0.300205,0.223136,0.295338,0.189175,0.291391,0.434302,0.350002,0.185701,0.58223,?,?,0.966852,0.904941,0.921627,0.193037,0.3,1,0.83448,0.189498,0,1
0.184875,0.025928,0.258847,0.567298,0.481521,0.656492,0.411435,0.547456,0.326485,0.268406,0.347232,0.210107,0.270177,0.476078,0.434229,0.159158,0.473247,0.366675,0.000004,0.668015,0.952264,0.952264,0.303941,0.375,0.240024,0.61944,0.2858,0,1
0.278827,0.037673,0.303104,0.693555,0.674938,0.715944,0.433243,0.464217,0.311605,0.243073,0.355609,0.210444,0.313586,0.575098,0.344785,0.159158,0.635583,0.729918,0.000007,0.749922,0.92607,0.919197,0.262823,0.333333,0.484691,0.685824,0.24058,0,1
0.200499,0.028685,0.234968,0.648855,0.431262,0.587936,0.370867,0.613106,0.374201,0.205732,0.407441,0.210549,0.283314,0.519592,0.423808,0.159167,0.642939,0.39492,0.000014,0.637629,0.929972,0.929972,0.344369,0.3125,0.240845,0.612378,0.323341,0,1
0.12346,0.01948,0.242429,0.673206,0.251655,0.613778,0.400559,0.887622,0.357703,0.202317,0.443196,0.270333,0.276958,0.487345,0.352976,0.159149,0.626305,0.251993,0.000006,0.577465,0.842171,0.842171,0.201644,0.32,0.147489,0.614236,0.185566,0,1
0.164011,0.01847,0.257912,0.651937,0.704157,0.647943,0.257709,0.396996,0.376862,0.291461,0.334791,0.242735,0.326927,0.507105,0.413831,0.017709,0.67855,0.670641,0.000063,0.669382,0.895515,0.895515,0.140792,0.257143,0.202325,0.738217,0.194679,0,1
0.121239,0.01472,0.222462,0.613271,0.491127,0.510508,0.466909,0.640426,0.328731,0.267524,0.339438,0.245123,0.345406,0.517237,0.330472,0.159149,0.615635,0.15897,0.000004,0.536218,0.896733,0.87753,0.261487,0.3,0.105732,0.45553,0.231824,0,1
0.136571,0.021224,0.251795,0.606987,0.290865,0.640107,0.426726,0.839124,0.337717,0.264791,0.366596,0.215027,0.282387,0.491517,0.351137,0.159149,0.626871,0.277904,0.000006,0.601554,0.867954,0.855676,0.219643,0.37037,0.17048,0.631144,0.193353,0,1
0.088668,0.007516,0.22907,0.600656,0.719136,0.567026,0.267088,0.388636,0.30718,0.442827,0.215581,0.246715,0.498032,0.508218,0.500474,0.017684,0.572211,0.25969,0.000021,0.538497,0.908359,0.908359,0.170637,0.190476,0.085015,0.553767,0.23194,0,1
0.198684,0.028093,0.16502,0.558862,0.468266,0.467644,0.524544,0.529178,0.288517,0.257293,0.367748,0.174731,0.257783,0.387341,0.288262,0.159158,0.555171,0.246603,0.000007,0.588201,0.843279,0.826839,0.308562,0.482759,0.207697,0.595,0.264918,0,1
0.022913,0.002357,0.256247,0.612004,0.634337,0.699385,0.294561,0.46998,0.419449,0.18965,0.353985,0.083402,0.180161,0.607342,0.346665,0.017642,0.603611,0.040575,0,0.438321,0.957557,0.957557,0.158796,0.3,0.023023,0.231455,0.181049,0,1
0.143139,0.033773,0.255587,0.569092,0.613376,0.649213,0.331391,0.362584,0.240814,0.324786,0.272559,0.160471,0.301307,0.426417,0.272041,0.1857,0.626326,0.151638,0.000005,0.582844,0.914786,0.898941,0.358751,0.571429,0.12852,0.460164,0.275021,0,1
0.297941,0.048787,0.28729,0.586487,0.554339,0.668663,0.366459,0.6455,0.372632,0.254973,0.336897,0.217895,0.264096,0.476517,0.440031,0.017743,0.692155,1,0.000031,0.828973,0.85196,0.85196,0.092649,0.481481,0.515488,0.70535,0.07522,0,1
0.197585,0.025777,0.277638,0.582788,0.404247,0.690444,0.455297,0.75763,0.335437,0.275384,0.452772,0.227482,0.331453,0.487008,0.304189,0.159149,0.596859,0.558515,0.000007,0.686189,0.883507,0.895726,0.191299,0.263158,0.303767,0.688186,0.200826,0,1
0.132036,0.016687,0.266584,0.558824,0.646914,0.661751,0.247812,0.43408,0.345109,0.277489,0.36964,0.276744,0.25991,0.540473,0.402804,0.044268,0.474255,0.338302,0.000004,0.581184,0.823477,0.823477,0.211833,0.321429,0.163116,0.607005,0.198132,0,1
0.060945,0.007901,0.218129,0.523425,0.577143,0.517127,0.473142,0.539318,0.383402,0.306638,0.369911,0.172212,0.322392,0.473193,0.322894,0.017659,0.55376,0.10898,0.000005,0.532611,0.912357,0.912357,0.163645,0.25,0.060247,0.42696,0.153721,0,1
0.105929,0.013068,0.213582,0.549544,0.524951,0.429006,0.490735,0.635618,0.366067,0.248437,0.489595,0.237167,0.411063,0.530802,0.363045,0.159149,0.749752,0.133493,0.000006,0.532611,0.934267,0.912357,0.243279,0.222222,0.080448,0.432295,0.224542,0,1
0.075835,0.009094,0.318821,0.557017,0.618554,0.824272,0.345347,0.518801,0.361704,0.262584,0.288112,0.154037,0.273839,0.431688,0.342805,0.017677,0.559515,0.123775,0.000003,0.566513,0.95813,0.95813,0.200163,0.388889,0.077141,0.491832,0.199556,0,1
