@relation hetero_trainingSetWithClass

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute ATSC6e numeric
@attribute ATSC2i numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC4 numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute MPC9 numeric
@attribute TSRW numeric
@attribute AMW numeric
@attribute Class {0,1}

@data
996.809477,0.32074,1.751544,-9.758814,-0.110124,0.040623,1.039515,1.11395,0.933378,1.237964,0.898006,1.136514,0.72201,16.000002,3.468932,140.725015,8.511122,4.789015,4.72005,0.985804,0.971607,18.584233,32,9.858124,9.484628,1
3295.06823,-0.70773,0.634957,12.825177,-0.142771,-0.103415,1.033182,0.715021,0.846981,1.159368,0.637469,1.069833,0.74605,34.971059,6.044248,185.8899,9.577997,4.875146,4.97771,0.922379,0.941785,21.911285,74,10.135591,9.744231,1
1870.664404,-0.043301,-0.159252,27.853328,0.025826,-0.022631,1.09202,1.120207,0.943445,0.792322,0.793479,0.947944,1.166082,31.972072,5.714402,222.054142,9.886768,4.234184,4.234184,0.795611,0.795611,14.079526,100,10.161882,7.103368,1
2438.785452,-0.184954,0.358844,10.860372,-0.082379,-0.026056,1.098878,1.051964,1.022103,1.134593,1.169469,1.009849,1.003163,15.99827,5.678017,351.312769,11.823815,5.036887,5.046819,0.806169,0.807759,10.149549,112,10.748497,6.201496,1
2598.510176,-0.204947,-0.493411,40.190658,-0.064703,-0.04504,1.113535,0.656914,1.083892,1.475433,0.784763,1.132899,0.710392,34.969381,5.636927,262.354662,10.943821,4.684184,4.734184,0.880167,0.889562,19.640823,119,10.14081,8.276994,1
3940.665737,-1.310746,3.214664,11.981014,0.026787,-0.048687,0.926414,0.883457,0.978635,0.895295,1.01502,0.950727,1.095472,16.005051,4.277035,709.782713,106.561842,6.240546,6.266054,0.923856,0.927633,14.24266,678,11.445866,7.271781,1
1729.380419,-1.734954,-1.134055,-0.968112,-0.393507,-0.146514,1.570269,0.989603,0.732811,0.919086,1.000828,0.920151,0.976075,31.972072,4.912005,142.787411,6.708406,4.66391,4.66391,0.932782,0.932782,23.767402,61,10.786449,9.376651,1
1158.152329,-0.40453,-0.161749,1.86143,0.162732,-0.075715,0.966363,1.559143,0.741109,0.709871,1.662292,1.187128,1.647813,31.972072,4.134432,76.97544,8.265106,4.121928,4.121928,0.953724,0.953724,26.756749,17,9.71553,10.700803,1
1783.416224,-0.517538,-0.129497,14.509443,-0.149122,-0.083374,1.187429,0.811941,0.994852,0.539461,1.014199,1.217221,0.890782,15.994921,6.336136,388.395141,61.993398,5.2312,5.21772,0.900789,0.898468,10.895547,302,10.973889,5.861633,1
2929.060014,-0.428112,-0.181202,25.650462,-0.035059,-0.097557,1.010186,0.717139,1.000198,0.677208,1.118371,1.023937,0.850587,34.969381,5.825965,312.566977,6.894283,4.86461,4.86461,0.866405,0.866405,17.96562,146,10.413733,7.61506,1
1328.637892,-0.22257,0.472997,-0.212614,0.029931,-0.048561,0.927808,1.041936,0.867826,0.26624,0.889557,1.171542,1.201801,15.998264,4.856709,126.910533,10.240903,3.884184,3.784184,0.729845,0.711055,10.181173,32,9.973433,6.703658,1
1094.269114,-0.885407,4.730024,-7.738683,0.110157,-0.081592,0.766495,1.093658,0.72558,1.361666,0.893851,0.847973,1.13071,16.000802,5.201375,296.845216,80005.972344,4.157854,4.157854,0.810611,0.810611,13.238319,152,10.570958,9.544221,1
1723.909853,-0.643877,-0.503143,15.630935,-0.044613,-0.193844,0.954321,0.883374,0.693745,1.272624,0.381582,1.247443,1.049355,34.96938,5.650609,111.309664,6.830748,4.415061,4.415061,0.899768,0.899768,18.019139,32,9.938951,8.269429,1
3157.379091,0.560051,-0.083641,-24.369923,-0.113056,0.036519,0.979201,0.79752,1.170548,1.070903,1.272707,0.862216,0.968596,31.973075,4.238109,385.411756,8.209799,5.484172,5.437479,0.932263,0.924326,22.726927,213,10.978353,9.255918,1
2144.776592,-0.198633,-2.730026,18.107859,0.012635,-0.015711,0.912756,1.204911,0.931838,1.013147,1.002598,0.978061,1.278146,31.972072,4.525597,291.913098,7.745698,4.757546,4.757546,0.876763,0.876763,21.353023,238,10.646472,8.444309,1
1699.282159,-1.605941,-0.525346,-8.2135,-0.234354,-0.189404,1.286757,0.741557,0.963121,0.872397,1.280827,0.919899,0.803681,31.972072,3.889787,82.272671,5.672585,4.254196,4.254196,0.875713,0.875713,23.075906,10,9.789142,8.519403,1
1574.136835,-0.334566,-1.41523,-16.807697,0.134265,-0.0272,0.785776,0.909005,1.368452,0.934746,1.518216,1.106802,1.140693,18.998407,4.514278,227.742933,8.187859,4.678032,4.678032,0.867536,0.867536,17.463094,155,10.588174,7.884124,1
